episode_id,order,graph_seed,policy_seed,horizon,champion_auc,stage3_auc,delta,champion_auc_fraction,stage3_auc_fraction,delta_fraction,champion_best_total_witnesses,stage3_best_total_witnesses,champion_accepted_count,stage3_accepted_count,champion_duplicate_count,stage3_duplicate_count,champion_first_improvement_step,stage3_first_improvement_step,first_difference_step,curve_difference_area_fraction,curve_difference_steps,initial_total_capped_witnesses,witness_transition_summary,canonical_episode_sha256,champion_program_id,champion_source_sha256,champion_normalized_ast_sha256,stage3_source_sha256,stage3_normalized_ast_sha256
o10-g0451-p4501,10,451,4501,32,0.95,0.9375,0.0125,19/20,15/16,1/80,0,0,3,3,34,27,0,0,3,2/5,1,5,"[{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":3}]",18a3a1c428f501019cd099e6978ecf1c73f2115dd3ee0dab9eace53b2bf932ea,program-d5ad1c8203e0d9f25f03aabd,e444562c1b308e3b23cb732be5f769ea1923ac1809501cea8571318c4aff0a7b,2243214df58c805e9a9343dc31ed082279e1c2ac31b21243bf889dbc9a19e165,a5f540459695bbf7d454eeccbb8e48158d6130df6a769b67d1447de18276dc01,cef05bb644e2e0a9acbc4972fbaa6d4ba3e033ee8a73ecd756da44100c767f5c
o10-g0451-p4502,10,451,4502,32,0.9875,0.95,0.0375,79/80,19/20,3/80,0,0,2,3,23,33,0,0,0,6/5,3,5,"[{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""2/5"",""stage3_normalized"":0.2,""stage3_raw"":4,""step"":0},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":1},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":2}]",5dabad994afff8a43650530da928ea776513ffc18a41c3ed4f337a7335fac54f,program-d5ad1c8203e0d9f25f03aabd,e444562c1b308e3b23cb732be5f769ea1923ac1809501cea8571318c4aff0a7b,2243214df58c805e9a9343dc31ed082279e1c2ac31b21243bf889dbc9a19e165,a5f540459695bbf7d454eeccbb8e48158d6130df6a769b67d1447de18276dc01,cef05bb644e2e0a9acbc4972fbaa6d4ba3e033ee8a73ecd756da44100c767f5c
o10-g0451-p4503,10,451,4503,32,0.75,0.95,-0.2,3/4,19/20,-1/5,0,0,2,3,16,22,0,0,0,-32/5,19,5,"[{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""1/5"",""stage3_normalized"":0.4,""stage3_raw"":3,""step"":0},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""1/5"",""stage3_normalized"":0.4,""stage3_raw"":3,""step"":1},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":3},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":4},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":5},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":6},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":7},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":8},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":9},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":10},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":11},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":12},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":13},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":14},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":15},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":16},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":17},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":18},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":19}]",a0da425dfb5c2e77837328dce8d9c6658de4f191e1072d510ac7046c0d4ad0e2,program-d5ad1c8203e0d9f25f03aabd,e444562c1b308e3b23cb732be5f769ea1923ac1809501cea8571318c4aff0a7b,2243214df58c805e9a9343dc31ed082279e1c2ac31b21243bf889dbc9a19e165,a5f540459695bbf7d454eeccbb8e48158d6130df6a769b67d1447de18276dc01,cef05bb644e2e0a9acbc4972fbaa6d4ba3e033ee8a73ecd756da44100c767f5c
o10-g0451-p4504,10,451,4504,32,0.93125,0.93125,0.0,149/160,149/160,0,0,0,3,3,21,21,0,0,,0,0,5,[],fa29659c68a26c8d193fd0088eb3bdb5ded0ae57ccd5f76049e003a33c600288,program-d5ad1c8203e0d9f25f03aabd,e444562c1b308e3b23cb732be5f769ea1923ac1809501cea8571318c4aff0a7b,2243214df58c805e9a9343dc31ed082279e1c2ac31b21243bf889dbc9a19e165,a5f540459695bbf7d454eeccbb8e48158d6130df6a769b67d1447de18276dc01,cef05bb644e2e0a9acbc4972fbaa6d4ba3e033ee8a73ecd756da44100c767f5c
o10-g0451-p4505,10,451,4505,32,0.825,0.98125,-0.15625,33/40,157/160,-5/32,0,0,2,3,51,22,0,0,1,-5,13,5,"[{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-1/5"",""stage3_normalized"":0.8,""stage3_raw"":1,""step"":1},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":2},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":3},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":4},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":5},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":6},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":7},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":8},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":9},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":10},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":11},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":12},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":13}]",9b4cb392c59fdfe900d734bbf2f1b11dba334424c718f6bac3affba78051915a,program-d5ad1c8203e0d9f25f03aabd,e444562c1b308e3b23cb732be5f769ea1923ac1809501cea8571318c4aff0a7b,2243214df58c805e9a9343dc31ed082279e1c2ac31b21243bf889dbc9a19e165,a5f540459695bbf7d454eeccbb8e48158d6130df6a769b67d1447de18276dc01,cef05bb644e2e0a9acbc4972fbaa6d4ba3e033ee8a73ecd756da44100c767f5c
o10-g0451-p4506,10,451,4506,32,0.93125,0.86875,0.0625,149/160,139/160,1/16,0,0,2,3,49,44,1,1,1,2,5,5,"[{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""2/5"",""stage3_normalized"":0.2,""stage3_raw"":4,""step"":1},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":4},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":5},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":6},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":7}]",2e3d792efd815291ae1da292240f8243b26e680b63f07986c6d75181e8e228e5,program-d5ad1c8203e0d9f25f03aabd,e444562c1b308e3b23cb732be5f769ea1923ac1809501cea8571318c4aff0a7b,2243214df58c805e9a9343dc31ed082279e1c2ac31b21243bf889dbc9a19e165,a5f540459695bbf7d454eeccbb8e48158d6130df6a769b67d1447de18276dc01,cef05bb644e2e0a9acbc4972fbaa6d4ba3e033ee8a73ecd756da44100c767f5c
o10-g0451-p4507,10,451,4507,32,0.975,0.86875,0.10625,39/40,139/160,17/160,0,0,2,3,29,37,0,0,0,17/5,9,5,"[{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""1/5"",""stage3_normalized"":0.4,""stage3_raw"":3,""step"":0},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":2},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":3},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":4},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":5},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":6},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":7},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":8},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":9}]",2f66647e90917a028d90c96e4c3d524001d8b941122877d55dbc5e5b70d6e680,program-d5ad1c8203e0d9f25f03aabd,e444562c1b308e3b23cb732be5f769ea1923ac1809501cea8571318c4aff0a7b,2243214df58c805e9a9343dc31ed082279e1c2ac31b21243bf889dbc9a19e165,a5f540459695bbf7d454eeccbb8e48158d6130df6a769b67d1447de18276dc01,cef05bb644e2e0a9acbc4972fbaa6d4ba3e033ee8a73ecd756da44100c767f5c
o10-g0451-p4508,10,451,4508,32,0.88125,0.90625,-0.025,141/160,29/32,-1/40,0,0,3,3,51,29,0,1,0,-4/5,9,5,"[{""champion_normalized"":0.4,""champion_raw"":3,""normalized_difference"":""2/5"",""stage3_normalized"":0.0,""stage3_raw"":5,""step"":0},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""1/5"",""stage3_normalized"":0.4,""stage3_raw"":3,""step"":1},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-1/5"",""stage3_normalized"":0.8,""stage3_raw"":1,""step"":2},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-1/5"",""stage3_normalized"":0.8,""stage3_raw"":1,""step"":3},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-1/5"",""stage3_normalized"":0.8,""stage3_raw"":1,""step"":4},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-1/5"",""stage3_normalized"":0.8,""stage3_raw"":1,""step"":5},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-1/5"",""stage3_normalized"":0.8,""stage3_raw"":1,""step"":6},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-1/5"",""stage3_normalized"":0.8,""stage3_raw"":1,""step"":7},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-1/5"",""stage3_normalized"":0.8,""stage3_raw"":1,""step"":8}]",518c6ded17a8f921adb48e3d50d0ed9d9067870dd0325493eaafbed8bc160165,program-d5ad1c8203e0d9f25f03aabd,e444562c1b308e3b23cb732be5f769ea1923ac1809501cea8571318c4aff0a7b,2243214df58c805e9a9343dc31ed082279e1c2ac31b21243bf889dbc9a19e165,a5f540459695bbf7d454eeccbb8e48158d6130df6a769b67d1447de18276dc01,cef05bb644e2e0a9acbc4972fbaa6d4ba3e033ee8a73ecd756da44100c767f5c
o10-g0451-p4509,10,451,4509,32,0.93125,0.8,0.13125,149/160,4/5,21/160,0,0,3,3,21,21,0,0,2,21/5,12,5,"[{""champion_normalized"":0.4,""champion_raw"":3,""normalized_difference"":""-1/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":2},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":4},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":5},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":6},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":7},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":8},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":9},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":10},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":11},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":12},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":13},{""champion_normalized"":1.0,""champion_raw"":0,""normalized_difference"":""2/5"",""stage3_normalized"":0.6,""stage3_raw"":2,""step"":14}]",c6c17f767633fadf67dcd2d484335d6d845ad50cd80cc4085b56467e749de371,program-d5ad1c8203e0d9f25f03aabd,e444562c1b308e3b23cb732be5f769ea1923ac1809501cea8571318c4aff0a7b,2243214df58c805e9a9343dc31ed082279e1c2ac31b21243bf889dbc9a19e165,a5f540459695bbf7d454eeccbb8e48158d6130df6a769b67d1447de18276dc01,cef05bb644e2e0a9acbc4972fbaa6d4ba3e033ee8a73ecd756da44100c767f5c
o10-g0451-p4510,10,451,4510,32,0.9625,0.98125,-0.01875,77/80,157/160,-3/160,0,0,3,2,25,34,0,0,0,-3/5,2,5,"[{""champion_normalized"":0.2,""champion_raw"":4,""normalized_difference"":""-1/5"",""stage3_normalized"":0.4,""stage3_raw"":3,""step"":0},{""champion_normalized"":0.6,""champion_raw"":2,""normalized_difference"":""-2/5"",""stage3_normalized"":1.0,""stage3_raw"":0,""step"":1}]",616ba38460e37ed29f1d3f0746dc3e0353a4d6cac49799794feb0a4edae46e10,program-d5ad1c8203e0d9f25f03aabd,e444562c1b308e3b23cb732be5f769ea1923ac1809501cea8571318c4aff0a7b,2243214df58c805e9a9343dc31ed082279e1c2ac31b21243bf889dbc9a19e165,a5f540459695bbf7d454eeccbb8e48158d6130df6a769b67d1447de18276dc01,cef05bb644e2e0a9acbc4972fbaa6d4ba3e033ee8a73ecd756da44100c767f5c
